# Constructed from biom file
#OTU ID	s4004-taxa	sW3-taxa	s3894-taxa	sW1-taxa	s3761-taxa	s4281-taxa	s3940-taxa	s3654-taxa	sW2-taxa	s3961-taxa	s3954-taxa	s3574-taxa	s3764-taxa	s3594-taxa	s4280-taxa	s3951-taxa	s3681-taxa	s3520-taxa	s3570-taxa	s3680-taxa	s4011-taxa	s3521-taxa	s3751-taxa	s3330-taxa	s3981-taxa	s3760-taxa	sS3-taxa	s3944-taxa	s4284-taxa	s3590-taxa	s3730-taxa	sE2-taxa	s3591-taxa	s3651-taxa	s3451-taxa	s3731-taxa	sE4-taxa	s3684-taxa	s3950-taxa	sS1-taxa	s3331-taxa	s3524-taxa	s3851-taxa	s3960-taxa	s4000-taxa	s4001-taxa	s3854-taxa	s3850-taxa	s3890-taxa	s4014-taxa	s3941-taxa	s3650-taxa	s3964-taxa	s3754-taxa	s4010-taxa	s3984-taxa	s3980-taxa	sE3-taxa	sS4-taxa	s3750-taxa	s3400-taxa	s3891-taxa	sE5-taxa	sS2-taxa	s3734-taxa	s3401-taxa	s3450-taxa	s3334-taxa	s3571-taxa	s3454-taxa	s3404-taxa	sE1-taxa	Consensus Lineage
571	12.0	277.0	6827.0	3.0	11144.0	15580.0	1506.0	82304.0	12.0	80.0	17745.0	143.0	3921.0	5838.0	2769.0	47.0	6422.0	123.0	5206.0	58.0	2799.0	26.0	630.0	4707.0	5027.0	737.0	2408.0	21321.0	18742.0	2198.0	347.0	37.0	21352.0	22209.0	5438.0	34246.0	31.0	1818.0	1741.0	54.0	15832.0	333.0	6801.0	12960.0	114.0	2918.0	284.0	236.0	387.0	44230.0	198.0	41.0	2281.0	36624.0	530.0	13911.0	104.0	0.0	4.0	283.0	189.0	25925.0	0.0	8601.0	263.0	1417416.0	23.0	5444.0	2359.0	5930.0	90532.0	864.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__oxytoca
548	6.0	73.0	4915.0	3.0	3039.0	878.0	520.0	34220.0	8.0	46.0	869.0	25.0	1116.0	2627.0	217.0	224.0	4551.0	307.0	522.0	36.0	907.0	132.0	242.0	813.0	4203.0	435.0	244.0	9073.0	684.0	887.0	92.0	1.0	2679.0	17993.0	12924.0	4373.0	2.0	999.0	930.0	6.0	3063.0	223.0	6050.0	6854.0	1207.0	1618.0	102.0	245.0	44.0	917.0	61.0	46.0	805.0	3081.0	160.0	8874.0	98.0	0.0	2.0	264.0	48.0	15460.0	0.0	3657.0	429.0	24577.0	1.0	4553.0	81.0	1244.0	1869.0	551.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__[Enterobacter] aerogenes
244366	2.0	28.0	4688.0	0.0	11819.0	122.0	1315.0	36075.0	2.0	18.0	107.0	18.0	872.0	529.0	83.0	1.0	1591.0	6.0	443.0	22.0	631.0	3.0	219.0	698.0	301.0	87.0	168.0	6627.0	537.0	1891.0	59.0	0.0	2159.0	14872.0	144.0	1154.0	3.0	251.0	273.0	0.0	640.0	153.0	11400.0	2122.0	5.0	1729.0	46.0	5.0	17.0	210.0	13.0	30.0	359.0	2502.0	68.0	2613.0	26.0	0.0	1.0	190.0	19.0	2639.0	0.0	3857.0	28.0	5888.0	0.0	4215.0	17.0	1786.0	488.0	142.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__variicola
561	1.0	453.0	1210.0	0.0	1093.0	1185.0	117.0	456.0	1.0	5.0	1167.0	1019.0	5984.0	129.0	135.0	4778.0	458.0	14314.0	26.0	74.0	673.0	2975.0	26.0	2329.0	485.0	28.0	485.0	1661.0	1746.0	341.0	450.0	16.0	2016.0	6978.0	3271.0	125.0	5.0	127.0	2199.0	3.0	364.0	7520.0	800.0	427.0	23641.0	623.0	13903.0	67.0	36.0	4168.0	9073.0	15.0	2526.0	1176.0	51.0	792.0	42.0	0.0	18.0	151.0	39903.0	1189.0	0.0	56.0	9171.0	802.0	1.0	1811.0	2844.0	1505.0	1511.0	54.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__
562	141.0	25457.0	63632.0	23.0	77437.0	113638.0	8923.0	22072.0	485.0	206.0	115580.0	93144.0	539081.0	4520.0	10759.0	357659.0	7822.0	1534108.0	949.0	5506.0	37567.0	302309.0	836.0	185353.0	9670.0	2307.0	39420.0	91124.0	145036.0	20839.0	38566.0	808.0	169925.0	483467.0	169180.0	15476.0	166.0	2841.0	158486.0	276.0	6891.0	790488.0	36085.0	29696.0	1444156.0	39100.0	1416052.0	6774.0	2962.0	414568.0	490170.0	1130.0	165521.0	72529.0	2603.0	30659.0	2909.0	1.0	774.0	12802.0	4164017.0	67809.0	2.0	2254.0	623815.0	34868.0	30.0	118350.0	265891.0	111708.0	106494.0	2305.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__coli
28141	17.0	59.0	4627.0	0.0	2933.0	642.0	723.0	9836.0	7.0	69.0	1119.0	51.0	2676.0	3725.0	157.0	28.0	4886.0	93.0	324.0	13.0	927.0	26.0	287.0	1610.0	2746.0	984.0	274.0	11413.0	829.0	648.0	221.0	1.0	4419.0	11003.0	97.0	3961.0	5.0	1020.0	1438.0	24.0	2676.0	87.0	938.0	12254.0	59.0	920.0	62.0	33.0	40.0	967.0	236.0	18.0	1292.0	3428.0	169.0	15412.0	77.0	0.0	3.0	152.0	64.0	36562.0	0.0	1094.0	2119.0	10401.0	0.0	2870.0	39.0	1556.0	687.0	890.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; s__sakazakii
413502	6.0	7.0	842.0	1.0	508.0	173.0	125.0	1893.0	4.0	21.0	189.0	15.0	360.0	762.0	45.0	7.0	1235.0	20.0	95.0	4.0	227.0	5.0	14.0	228.0	994.0	184.0	48.0	1493.0	204.0	103.0	27.0	0.0	820.0	2178.0	34.0	1060.0	2.0	217.0	274.0	1.0	767.0	7.0	175.0	2012.0	8.0	149.0	9.0	9.0	8.0	115.0	19.0	5.0	244.0	240.0	37.0	3089.0	18.0	0.0	0.0	26.0	13.0	6947.0	0.0	219.0	107.0	3114.0	0.0	533.0	11.0	138.0	203.0	190.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; s__turicensis
590	1.0	7.0	157.0	2.0	1249.0	560.0	149.0	364.0	1.0	13.0	35.0	18.0	70.0	230.0	88.0	3.0	1829.0	15.0	12.0	1.0	312.0	6.0	35.0	63.0	2718.0	38.0	17.0	717.0	104.0	251.0	6.0	0.0	218.0	760.0	27.0	256.0	3.0	630.0	66.0	1.0	1680.0	8.0	52.0	412.0	50.0	62.0	15.0	1.0	1.0	54.0	44.0	0.0	116.0	479.0	53.0	634.0	45.0	0.0	1.0	15.0	32.0	968.0	0.0	41.0	88.0	661.0	0.0	192.0	17.0	154.0	54.0	43.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__
28901	17.0	436.0	7189.0	2.0	12771.0	4222.0	1862.0	14619.0	32.0	182.0	1419.0	293.0	6126.0	6117.0	832.0	684.0	15451.0	1286.0	280.0	22.0	3515.0	205.0	614.0	2815.0	23965.0	1289.0	590.0	27550.0	2055.0	2875.0	499.0	2.0	5511.0	20103.0	1218.0	10007.0	19.0	5400.0	2828.0	41.0	13890.0	546.0	3933.0	19864.0	663.0	1916.0	1349.0	68.0	93.0	2552.0	3746.0	29.0	4609.0	8282.0	591.0	24500.0	413.0	0.0	30.0	218.0	867.0	43415.0	0.0	1610.0	4928.0	22761.0	2.0	5044.0	606.0	4601.0	2121.0	1354.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__enterica
54736	1.0	26.0	711.0	0.0	2372.0	1147.0	305.0	1524.0	10.0	38.0	162.0	31.0	252.0	745.0	143.0	39.0	3363.0	69.0	62.0	2.0	602.0	24.0	127.0	221.0	5029.0	120.0	34.0	1931.0	235.0	521.0	24.0	1.0	760.0	2290.0	60.0	1654.0	2.0	1109.0	336.0	1.0	3427.0	56.0	181.0	1219.0	61.0	180.0	89.0	0.0	10.0	178.0	175.0	2.0	313.0	1277.0	111.0	3354.0	60.0	0.0	2.0	22.0	237.0	3667.0	0.0	171.0	450.0	3161.0	0.0	509.0	36.0	476.0	340.0	183.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__bongori
545	8.0	135.0	1662.0	7.0	9070.0	46914.0	1058.0	4041.0	27.0	190.0	380.0	111.0	332.0	1950.0	807.0	42.0	15122.0	58.0	108.0	8.0	5166.0	12.0	14.0	357.0	21731.0	405.0	117.0	1757.0	3115.0	1867.0	46.0	1.0	1585.0	6637.0	80.0	1670.0	14.0	5396.0	582.0	12.0	15245.0	30.0	411.0	3994.0	99.0	341.0	61.0	4.0	15.0	364.0	287.0	17.0	830.0	474.0	478.0	5454.0	318.0	0.0	7.0	74.0	142.0	12222.0	0.0	461.0	565.0	7505.0	0.0	1338.0	169.0	808.0	598.0	359.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter; s__koseri
67825	4.0	63.0	1951.0	0.0	4071.0	2011.0	582.0	4367.0	16.0	77.0	519.0	50.0	894.0	1815.0	327.0	127.0	7242.0	177.0	244.0	2.0	1205.0	55.0	22.0	505.0	10022.0	426.0	127.0	2829.0	851.0	856.0	88.0	2.0	1610.0	6529.0	216.0	3022.0	10.0	3473.0	723.0	3.0	16993.0	107.0	528.0	4735.0	151.0	448.0	135.0	19.0	25.0	518.0	277.0	7.0	789.0	527.0	245.0	6310.0	158.0	0.0	5.0	70.0	355.0	15114.0	0.0	475.0	2777.0	9847.0	0.0	1410.0	167.0	478.0	786.0	382.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter; s__rodentium
623	4.0	195.0	900.0	0.0	358.0	142.0	61.0	485.0	0.0	1.0	221.0	45.0	475.0	295.0	41.0	606.0	145.0	479.0	6.0	2.0	326.0	89.0	26.0	277.0	205.0	117.0	51.0	3696.0	299.0	93.0	32.0	4.0	469.0	3151.0	622.0	215.0	1.0	66.0	339.0	5.0	138.0	241.0	258.0	2579.0	705.0	129.0	703.0	7.0	13.0	200.0	3412.0	8.0	1500.0	436.0	14.0	683.0	14.0	0.0	5.0	55.0	920.0	2580.0	0.0	80.0	3712.0	337.0	0.0	871.0	92.0	623.0	94.0	43.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Shigella; s__flexneri
622	2.0	133.0	434.0	1.0	201.0	53.0	101.0	265.0	1.0	3.0	52.0	31.0	323.0	64.0	13.0	179.0	145.0	319.0	6.0	7.0	215.0	71.0	38.0	161.0	240.0	215.0	31.0	879.0	83.0	83.0	22.0	0.0	407.0	1491.0	898.0	237.0	0.0	62.0	105.0	2.0	151.0	172.0	233.0	2531.0	589.0	56.0	359.0	11.0	15.0	138.0	2645.0	4.0	1150.0	419.0	12.0	361.0	5.0	0.0	8.0	23.0	836.0	7742.0	0.0	22.0	2169.0	438.0	0.0	407.0	73.0	207.0	107.0	17.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Shigella; s__dysenteriae
621	1.0	150.0	495.0	0.0	421.0	74.0	95.0	325.0	0.0	4.0	140.0	28.0	546.0	143.0	22.0	463.0	213.0	616.0	6.0	1.0	214.0	58.0	16.0	202.0	116.0	117.0	48.0	1359.0	243.0	138.0	37.0	1.0	219.0	2894.0	2120.0	573.0	1.0	50.0	282.0	4.0	89.0	138.0	150.0	1457.0	410.0	86.0	241.0	24.0	6.0	377.0	3400.0	8.0	1068.0	294.0	8.0	510.0	9.0	0.0	2.0	39.0	749.0	4801.0	0.0	40.0	4469.0	200.0	0.0	730.0	58.0	613.0	86.0	32.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Shigella; s__boydii
54291	7.0	41.0	2712.0	0.0	1796.0	627.0	312.0	4719.0	8.0	39.0	692.0	37.0	579.0	2038.0	125.0	13.0	3921.0	33.0	299.0	9.0	675.0	9.0	71.0	419.0	2921.0	367.0	126.0	6452.0	611.0	396.0	36.0	0.0	1498.0	6706.0	86.0	900945.0	2.0	739.0	540.0	13.0	2636.0	62.0	833.0	4033.0	17.0	13762.0	18.0	21.0	32.0	863.0	114.0	12.0	559.0	865.0	114.0	5370.0	46.0	0.0	3.0	66.0	59.0	13658.0	0.0	567.0	336.0	43550.0	3.0	1402.0	113.0	377.0	13732.0	287.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Raoultella; s__ornithinolytica
693444	3.0	38.0	2319.0	0.0	3268.0	1123.0	465.0	5109.0	7.0	61.0	428.0	26.0	782.0	4712.0	201.0	84.0	5019.0	29.0	220.0	9.0	829.0	7.0	8.0	428.0	4736.0	404.0	147.0	2344.0	867.0	713.0	49.0	3.0	1308.0	14620.0	228.0	2334.0	14.0	1233.0	746.0	7.0	3614.0	31.0	439.0	4026.0	61.0	399.0	37.0	9.0	24.0	288.0	200.0	23.0	618.0	258.0	157.0	7140.0	89.0	0.0	1.0	138.0	110.0	13868.0	0.0	558.0	709.0	6804.0	0.0	3167.0	31.0	379.0	440.0	408.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter; s__Enterobacteriaceae bacterium strain FGI 57
891974	1.0	7.0	592.0	0.0	636.0	135.0	98.0	1238.0	2.0	8.0	129.0	4.0	64.0	413.0	28.0	26.0	724.0	45.0	283.0	1.0	137.0	12.0	2.0	93.0	472.0	97.0	19.0	1767.0	82.0	160.0	13.0	0.0	430.0	1218.0	38.0	1441.0	1.0	162.0	185.0	5.0	395.0	48.0	312.0	1450.0	6.0	132.0	11.0	0.0	5.0	104.0	28.0	4.0	116.0	79.0	32.0	1549.0	7.0	0.0	2.0	16.0	22.0	3307.0	0.0	136.0	59.0	1371.0	2.0	282.0	23.0	50.0	7517.0	96.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter; s__Plautia stali symbiont
563	3.0	40.0	524.0	0.0	547.0	323.0	93.0	1984.0	3.0	19.0	100.0	9.0	383.0	558.0	47.0	26.0	1591.0	36.0	163.0	2.0	332.0	13.0	59.0	237.0	1131.0	110.0	47.0	512.0	242.0	177.0	32.0	0.0	966.0	1753.0	73.0	1127.0	0.0	323.0	241.0	2.0	1412.0	50.0	180.0	1528.0	25.0	135.0	20.0	7.0	5.0	129.0	143.0	1.0	240.0	628.0	58.0	2122.0	22.0	0.0	2.0	17.0	34.0	4695.0	0.0	199.0	114.0	5860.0	0.0	407.0	22.0	189.0	445.0	98.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Shimwellia; s__blattae
182337	3.0	17.0	373.0	0.0	297.0	143.0	73.0	555.0	2.0	8.0	82.0	21.0	96.0	449.0	27.0	3.0	675.0	6.0	185.0	0.0	113.0	0.0	30.0	70.0	509.0	98.0	24.0	441.0	96.0	59.0	6.0	0.0	272.0	905.0	8.0	1067.0	0.0	176.0	121.0	3.0	434.0	24.0	88.0	1213.0	2.0	152.0	0.0	2.0	2.0	121.0	9.0	1.0	97.0	79.0	36.0	1132.0	9.0	0.0	1.0	11.0	2.0	4064.0	0.0	66.0	26.0	1168.0	0.0	238.0	6.0	46.0	120.0	52.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Erwinia; s__billingiae
